signature;translation;speech part;transcription;synonyms;sentences;groups
dopey;"1) вялый; полусонный; одурманенный; 2) having or revealing stupidity";adjective;;stupid;Then, when she was all done whispering and being cute as hell, she'd sing some dopey song, half in English and half in French, and drive all the phonies in the place mad with joy.;appearance, THE CATCHER IN THE RYE (book)
dorm;общая спальня;noun;;;Mr. Zambesi stuck his head out of this window in the academic building and told us to go back to the dorm and get ready for dinner.;THE CATCHER IN THE RYE (book)
dormition;"1) сон; засыпание; смерть во сне; 2) Успение";noun;ˈdɔːmɪʃ(ə)n;;Georgian President Mikhail Saakashvili has issued a decree pardoning 201 prisoners due to the Dormition of Virgin Mary, which Orthodox believers marked on Sunday.;MYSTAGOGY, religion
doubtful;сомневающийся, колеблющийся;adjective;ˈdaʊtfəl;dubious;;traits
dough;"1) тесто, паста, густая масса; 2) деньги, бабки (разг.)";noun;dəʊ;;He's got a lot of dough, now. | I wouldn't visit that sonuvabitch Morrow for all the dough in the world, even if I was desperate.;THE CATCHER IN THE RYE (book)
doughnut;"пончик; жареный пирожок";noun;ˈdəʊnʌt;;A moment later the desserts appeared. Blocks of ice cream in every flavor you could think of, apple pies, treacle tarts, chocolate eclairs and jam doughnuts, trifle, strawberries, Jell-O, rice pudding.;HARRY POTTER AND THE SORCERER'S STONE (book), meal
downright;"совершенно; явно";adverb;;;People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.;HARRY POTTER AND THE SORCERER'S STONE (book)
downside;недостаток, обратная сторона;noun;;;This will often make them feel special but the downside is that they may suffer occasional pangs of jealousy and loneliness when friends discuss their family life.;LANGUAGE COURSES
down with smth.;долой;phrase;;;"""Down with the traitor!"", the crowd bawled.[""Долой предателя!"", орала толпа.]";REPEATING
drag;"1) тащить; тянуть, волочить; 2) тащиться позади, отставать";verb;;draw, pull;The minutes dragged by.;
drain;"водосток, труба; канализация";noun;;;The drain is blocked.;
drain;"1) осушать; 2) истощать";verb;;;He drained the little bottle in one gulp.;HARRY POTTER AND THE SORCERER'S STONE (book)
drastic;"1) сильнодействующий (о лекарстве); 2) интенсивный; решительный; радикальный, глубокий; резкий";adjective;;;Browsers with optimizing JavaScript engines don't have this sort of performance penalty for accessing out-of-scope identifiers, whereas Internet Explorer and others show a more drastic effect.;INFORMATION TECHNOLOGIES
draw;"1) тащить(ся), волочить(ся), тянуть; 2) рисовать; 3) кончать вничью; 4) вдыхать, втягивать";verb;;drag, pull;;
drawback;"препятствие; помеха, преграда, препона";noun;ˈdrɔːbæk;obstacle;However, old chessmen weren't a drawback at all.;HARRY POTTER AND THE SORCERER'S STONE (book)
drawl;растягивать слова, произносить с подчеркнутой медлительностью;verb;drɔːl;;"""Potter, you've got yourself a girlfriend!"" drawled Malfoy.";HARRY POTTER AND THE CHAMBER OF SECRETS (book)
dread;страх, боязнь;noun;;awe, fear, fright, horror, terror;;fear, violence
dreary;"грустный, печальный; тоскливый (boring and making you feel unhappy)";adjective;;blue, cheerless, dingy, gloomy, glum, grim, melancholy, mournful, sombre;She had spent another dreary day in the office.;
drench;промокать насквозь;verb;;;Within seconds, the whole class was standing on their stools while Neville, who had been drenched in the potion when the cauldron collapsed, moaned in pain as angry red boils sprang up all over his arms and legs.;HARRY POTTER AND THE SORCERER'S STONE (book)
drip;капать, падать каплями;verb;;drop;The drops dripped off the laurel leaves.;THE SILVER CHAIR (book) 
drive away;"force to go away; used both with concrete and metaphoric meanings";phrase;;chase away;I set out leather cushions and festoons of flowers for each guest, and jars of perfumed oil to cool them in the stifling night and drive away the mosquitoes. | We drove away the monkeys from the fruit.;idioms, phrasal verbs, REPEATING
drive out;вытеснять;phrase;;;Genuine conversation will be driven out by superficial communication, in which the act of contacting one another is all that matters, leading to a deterioration in the quality of relationships.;LANGUAGE COURSES, phrasal verbs
drool;"1) сочиться; течь; 2) распускать слюни; млеть от счастья";verb;;;I didn't much want to see it, but I knew old Sally, the queen of the phonies, would start drooling all over the place when I told her I had tickets for that, because the Lunts were in it and all.;THE CATCHER IN THE RYE (book)
droop;поникать, свисать, склоняться, наклоняться (to bend or hang down heavily);verb;;;Dudley, who was so large his bottom drooped over either side of the kitchen chair, grinned and turned to Harry.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
drop;"капать; падать; ронять";verb;;drip, fall, go down, sink;He was amazed when the owls soared down and dropped this large parcel right in front of him. | Scowling, Malfoy quickly dropped the Remembrall back on the table.;
drought;засуха;noun;draut;;"Because of man's sin, the earth produces thorns; because of sin, there is infertility; because of sin, there are droughts, floods, earthquakes, plagues, and destructive insects such as grasshoppers and caterpillars.";MYSTAGOGY
drown;"тонуть; топить";verb;;sink;;
